id,categoria,precio,propiedad,metros_total,metros_construido,precio_m2_terreno,precio_m2_construido,meses_transcurridos,tipo,Estado,estacionamientos,recamaras,banos,medio_banos,bano_total,seguridad_privada,Colonia,CP,url
1,,8000000,Casa - Tulancingo de Bravo,482,460,16597.510373443984,17391.304347826088,13,Casa,Venta,0,5,5,0,5.0,No,Felipe ngeles,0,https://www.lamudi.com.mx//detalle/41032-73-60adaf87eb8e-1677-853f180a-b1be-3423
2,S1,4810000,CASA EN VENTA COL JARDINES DEL SUR TULANCINGO DE BRAVO HIDALGO,228,360,21096.491228070176,13361.111111111111,12,Casa,Venta,0,4,0,0,0.0,No,Jardines del Sur,0,https://www.lamudi.com.mx//detalle/41032-73-d5a3d45f5dbe-72d8-ae5720cb-bf37-39c1
3,S1,4500000,"Se vende casa en Tulancingo, Fraccionamiento San Francisco Huatengo.",200,287,22500.0,15679.4425087108,3,Casa,Venta,0,0,0,0,0.0,No,La Quinta,0,https://www.lamudi.com.mx//detalle/41032-73-cfbd09274c36-b108-c2a1f4e9-ad07-1237
4,S1,4300000,"Casa en Venta, Col. La Morena. Tulancingo. Pachuca.",160,240,26875.0,17916.666666666668,7,Casa,Venta,1,5,1,0,1.0,No,Unidad Habitacional La Morena,0,https://www.lamudi.com.mx//detalle/41032-73-76d564d8c2b1-d515-4c729ba5-b486-46e3
5,A3,3946465,VENTA DE CASA EN PEDREGAL DE SAN FRANCISCO TULANCINGO DE BRAVO HIDALGO GDS/AS,150,150,26309.766666666663,26309.766666666663,2,Casa En Fraccionamiento,Venta,1,3,1,0,1.0,No,Tulancingo de Bravo,0,https://www.lamudi.com.mx//detalle/41032-73-dfeffb37df74-1249-f8860080-9ed3-4249
6,,3750000,"CASA DE 1 NIVEL EN LA MORENA, TULANCINGO",160,240,23437.5,15625.0,12,Casa,Venta,1,4,4,0,4.0,No,Unidad Habitacional La Morena,0,https://www.lamudi.com.mx//detalle/41032-73-5b029fa4b8c7-f083-3a6060f6-9bd2-39bf
7,A2,3555000,"VENTA DE CASA EN CALLE FRANZ VON LISZT, FRACC. JARDINES DEL SUR, TULANCINGO HIDALGO MXICO, 隆NO SE ACEPTAN CRDITOS!",228,360,15592.105263157897,9875.0,3,Casa En Fraccionamiento,Venta,1,4,1,0,1.0,No,Jardines del Sur,0,https://www.lamudi.com.mx//detalle/41032-73-f965e0ae6b2f-b1c8-8cf5147d-97dd-4d3e
8,A1,3400000,VENTA DE CASA DE LUJO CENTRICA DE TULANCINGO 3 RECAMARAS,200,200,17000.0,17000.0,2,Casa,Venta,1,3,1,0,1.0,No,Santa Ana,0,https://www.lamudi.com.mx//detalle/41032-73-7b50f7d88d98-1e26-b3b98b79-bf7b-1f12
9,A1,3350000,VENTA DE CASA AMPLIA Y DE LUJO SEMICENTRICA TULANCINGO 3 RECAMARAS,200,200,16750.0,16750.0,2,Casa,Venta,1,4,1,0,1.0,No,Santa Ana,0,https://www.lamudi.com.mx//detalle/41032-73-7b50f7d88d98-32e7-bb7921b9-bf7b-1f12
10,B3,3200000,VENTA SE CASA ECONOMICA Y DE LUJO EN TULANCINGO HIDALGO 3 RECAMARAS,140,140,22857.14285714286,22857.14285714286,2,Casa,Venta,1,3,1,0,1.0,No,Las Presas,0,https://www.lamudi.com.mx//detalle/41032-73-7b50f7d88d98-17e4-5eb74799-bf7b-1f12
11,B3,3200000,Casa - Tulancingo de Bravo,200,600,16000.0,5333.333333333333,6,Casa,Venta,0,3,2,0,2.0,No,San Juan,0,https://www.lamudi.com.mx//detalle/41032-73-ce47f616dd68-627e-e71d1c4a-a33f-3d24
12,B3,3130000,"CASA ADJ., Nicolas Cop茅rnico  San Francisco Huatengo I, 43647 Tulancingo de Bravo, Hidalgo.",200,241,15650.0,12987.551867219918,6,Casa,Venta,1,3,1,0,1.0,No,Tulancingo de Bravo,0,https://www.lamudi.com.mx//detalle/41032-73-29f30f8fd31a-ce4a-3d18d030-bebb-4453
13,,3000000,"Casa en Privada, Tulancingo de Bravo, Residencial Riva Palacio",200,170,15000.0,17647.058823529413,4,Casa,Venta,0,2,3,0,3.0,No,La Escondida,0,https://www.lamudi.com.mx//detalle/41032-73-50049742f4f-c74f-e43909c1-bfe6-4285
14,B2,2900000,"Casa de 3 rec谩maras en Privada Riva Palacio, La Morena Tulancingo Hgo",120,150,24166.666666666668,19333.33333333333,6,Casa,Venta,1,3,1,0,1.0,No,Unidad Habitacional La Morena,0,https://www.lamudi.com.mx//detalle/41032-73-bfb49856282a-e531-99e14565-8dd0-47ce
15,B2,2900000,"Una casa perfectamente dise帽ada en la mejor ubicaci贸n de Tulancingo, La Morena",120,154,24166.666666666668,18831.16883116883,5,Casa,Venta,1,3,1,0,1.0,No,Conjunto Habitacional Los Mesones,0,https://www.lamudi.com.mx//detalle/41032-73-f1d9f7d3a1ab-c9e6-ef7f900e-b973-4d71
16,B2,2890000,CASA EN VENTA EN TULANCINGO A 45 MINUTOS DE LA CIUDAD DE MEXICO,220,140,13136.363636363636,20642.85714285714,11,Casa,Venta,1,3,3,0,3.0,No,Conjunto Habitacional Los Mesones,0,https://www.lamudi.com.mx//detalle/41032-73-9e6409a03fe5-da06-4354ce5b-bbea-3254
17,B2,2850000,BONITO DEPARTAMENTO EN  COL LA PAZ,95,95,30000.0,30000.0,3,Departamento,Venta,1,2,2,0,2.0,No,El Mirador,0,https://www.lamudi.com.mx//detalle/41032-73-bc695da05ccc-338f-3cc449db-a987-4df0
18,B2,2758000,VVV VENTA DE CASA CALLE FRANZ VON LISZT JARDINES DEL SUR 3A SECC TULANCINGO DE BRAVO HIDALGO,70,140,39400.0,19700.0,2,Casa,Venta,1,3,1,0,1.0,No,Jardines del Sur,0,https://www.lamudi.com.mx//detalle/41032-73-4c88e4b1cb97-8a55-3dcaa553-ad27-426f
19,B2,2758000,"Casa VENTA, Jardines del Sur, Tulancingo de Bravo",160,160,17237.5,17237.5,2,Casa,Venta,1,3,1,0,1.0,No,Jardines del Sur,0,https://www.lamudi.com.mx//detalle/41032-73-467b23fd01cb-cb12-3a22ec63-8c62-4978
20,B1,2700000,Amplia casa en venta Tulancingo Hgo.,232,200,11637.93103448276,13500.0,6,Casa,Venta,1,3,3,0,3.0,No,El Mirador,0,https://www.lamudi.com.mx//detalle/41032-73-7beec3489eb2-2e79-af1c855a-9632-4633
21,B1,2650000,"CASA NUEVA EN VENTA RESIDENCIAL TERRANOVA, TULANCINGO.",202,135,13118.81188118812,19629.62962962963,12,Casa En Fraccionamiento,Venta,1,3,2,0,2.0,No,La Ca帽ada,0,https://www.lamudi.com.mx//detalle/41032-73-48844530cc85-8bf0-ff3c1c48-b7eb-39b9
22,C3,2480000,"CASA CON 350M2 DE TERRENO, COL. VALLE VERDE TULANCINGO HGO",350,250,7085.714285714285,9920.0,7,Casa,Venta,1,3,1,0,1.0,No,Valle Verde,0,https://www.lamudi.com.mx//detalle/41032-73-70ad2c30cdd4-ac4-77f13dfb-aa21-4f0d
23,C3,2450000,Pre-Venta de DEPARTAMENTOS EN ZONA CENTRO DE PACHUCA,120,120,20416.666666666668,20416.666666666668,3,Departamento,Venta,1,2,1,0,1.0,No,Pachuca de Soto Centro,0,https://www.lamudi.com.mx//detalle/41032-73-6cc9bdce2080-a85e-2225fd77-bf00-4f1c
24,C3,2367780,"HERMOSA CASA ADJ, COMPRAVENTA, Chihuahua , Vicente Guerrero, 43630 Tulancingo de Bravo, Hidalgo.",400,404,5919.45,5860.841584158416,6,Casa,Venta,1,3,1,0,1.0,No,Vicente Guerrero 1ra Secci贸n,0,https://www.lamudi.com.mx//detalle/41032-73-ddabe15a05a2-976e-1effcc87-bd51-416b
25,,2250000,"Casa en Venta en Zempoala,El Mirador 24-18 AA",156,156,14423.076923076924,14423.076923076924,4,Departamento,Venta,1,3,3,0,3.0,No,Veneto,0,https://www.lamudi.com.mx//detalle/41032-73-17123abd82c1-5b7-7287fe47-937f-3aab
26,C2,2200000,EXCLUSIVO FRACC. PEDREGAL DE SAN FRANCISCO TULANCINGO HGO.,150,159,14666.666666666666,13836.477987421384,12,Casa En Fraccionamiento,Venta,0,3,1,0,1.0,No,Tulancingo de Bravo,0,https://www.lamudi.com.mx//detalle/41032-73-449e66261448-8b10-e2cde429-9902-33e5
27,C2,2159000,"Hidalgo,Tulancingo,Almicar Residencial,Casa ,Venta",105,220,20561.904761904763,9813.636363636364,4,Casa,Venta,1,6,1,0,1.0,No,La Herradura,0,https://www.lamudi.com.mx//detalle/41032-73-60e84bf363a9-7428-752d4dc9-bdcf-3afb
28,,2000000,CASA EN EL ESTADO DE HIDALGO,250,170,8000.0,11764.70588235294,2,Casa,Venta,1,1,1,0,1.0,No,Guadalupe,0,https://www.lamudi.com.mx//detalle/41032-73-147f9b9aaae2-32cd-f903ca89-81d0-3a0c
29,,2000000,"CASAS EN MEDIAS TIERRAS, TULANCINGO DE BRAVO HIDALGO",92,182,21739.130434782608,10989.010989010989,9,Casa,Venta,1,3,2,0,2.0,No,Medias Tierras,0,https://www.lamudi.com.mx//detalle/41032-73-af54d1fd6cd2-f433-d11bc63-b17f-409e
30,C1,1976116,VENTA DE CASA EN LA HERRADURA TULANCINGO DE BRAVO HIDALGO GDS/AS,120,120,16467.633333333335,16467.633333333335,2,Casa En Fraccionamiento,Venta,1,3,1,0,1.0,No,Tollancingo,0,https://www.lamudi.com.mx//detalle/41032-73-ccd0c59699a-351e-706be229-9ef4-4e59
31,C1,1964872,"Casa en venta en Residencial. Almicar, Tulancingo de Bravo 隆Compra esta propiedad mediante Cesi贸n de Derechos e incrementa tu patrimonio! 隆Cont谩ctame, te digo c贸mo hacerlo!",92,140,21357.304347826088,14034.8,5,Casa En Condominio,Venta,1,3,1,0,1.0,No,Tollancingo,0,https://www.lamudi.com.mx//detalle/41032-73-526a378a978c-5d9a-b257c431-9517-4c07
32,C1,1930000,"CASA EN VENTA EN PRIVADA VICTORIA, EN MEDIAS TIERRAS, TULANCINGO",125,144,15440.0,13402.777777777776,12,Casa En Fraccionamiento,Venta,0,3,2,0,2.0,No,Medias Tierras,0,https://www.lamudi.com.mx//detalle/41032-73-8251aff19fca-ef3-5d8fb87-b771-3968
33,C1,1890000,CASA EN TULANCINGO A 45 MIN DE LA CIUDAD DE MEXICO,80,140,23625.0,13500.0,11,Casa,Venta,0,2,2,0,2.0,No,Conjunto Habitacional Los Mesones,0,https://www.lamudi.com.mx//detalle/41032-73-252d3fdc1b9d-6034-cb024130-8ca5-3fa2
34,D3,1712133,Departamento residencial de preventa en Mineral de la Reforma Hgo.,82,82,20879.67073170732,20879.67073170732,17,Departamento,Venta,1,2,1,0,1.0,No,Mineral de la Reforma,0,https://www.lamudi.com.mx//detalle/41032-73-26b7b429c361-c148-d94730b0-ad64-355c
35,D3,1700000,Se VENDE casa en Ampliaci贸n Rojo G贸mez Tulancingo Hidalgo,120,120,14166.666666666666,14166.666666666666,8,Casa,Venta,1,2,2,0,2.0,No,Ampliaci贸n Javier Rojo G贸mez,0,https://www.lamudi.com.mx//detalle/41032-73-b3b07a6e0fe-21ef-d909e739-8994-3a1c
36,D3,1600000,VENTA DE CASA CENTRICA AMPLIA CON JARDIN 4 RECAMARAS EN TULANCINGO HIDALGO,178,178,8988.76404494382,8988.76404494382,1,Casa,Venta,1,4,1,0,1.0,No,Medias Tierras,0,https://www.lamudi.com.mx//detalle/41032-73-43377c90abcd-3a87-51018c29-a91c-1f40
37,D3,1530000,"Casa en Tulancingo, Medias Tierras de 2 niveles, con garaje techado.",178,220,8595.505617977527,6954.545454545455,8,Casa,Venta,0,4,1,0,1.0,No,Medias Tierras,0,https://www.lamudi.com.mx//detalle/41032-73-9571cd0e94a5-bbc0-b04d045b-bb6b-4703
38,D3,1523793,Departamento en venta Portezuelos,80,80,19047.4125,19047.4125,12,Condominio Horizontal,Venta,1,2,1,0,1.0,No,Villas del lamo,0,https://www.lamudi.com.mx//detalle/41032-73-14be0c0d503c-8e25-10a3f736-9105-31ce
39,D2,1450000,VENTA DE CASA ECONOMICA Y CENTRICA AMPLIA CON 4 RECAMARAS EN TULANCINGO,128,128,11328.125,11328.125,2,Casa,Venta,1,4,1,0,1.0,No,20 de Noviembre,0,https://www.lamudi.com.mx//detalle/41032-73-7b50f7d88d98-24f9-6f9f5e99-bf7b-1f12
40,D2,1450000,"PREVENTA Casa de 3 niveles con sala doble altura, en Medias Tierras",142,135,10211.267605633802,10740.74074074074,1,Casa,Venta,0,3,3,0,3.0,No,Medias Tierras,0,https://www.lamudi.com.mx//detalle/41032-73-c41ce8c5e371-728-831364f-a0d9-477b
41,D2,1366025,VENTA DE CASA EN JARDINES DEL SUR TULANCINGO DE BRAVO HIDALGO GDS/AS,120,120,11383.541666666666,11383.541666666666,2,Casa,Venta,1,3,1,0,1.0,No,Jardines del Sur,0,https://www.lamudi.com.mx//detalle/41032-73-c05d32c8a2a0-1e10-f3f11bd6-b838-4459
42,D2,1350000,"CASA EN VENTA EN NAPATECO TULANCINGO, HIDALGO",171,105,7894.736842105263,12857.142857142857,7,Casa,Venta,1,3,2,0,2.0,No,Unidad Habitacional Napateco,0,https://www.lamudi.com.mx//detalle/41032-73-14ca92dd8a4d-db6f-eaae4c26-89a0-3953
43,D2,1300000,CASA EN VENTA EN FRACCIONAMIENTO CHAVARRIA,120,120,10833.333333333334,10833.333333333334,12,Departamento,Venta,1,2,2,0,2.0,No,Pachuca de Soto,0,https://www.lamudi.com.mx//detalle/41032-73-15e65e0d1f97-583f-70126887-8cef-3701
44,D2,1290000,"Casa en Col. 20 de noviembre, Tulancingo de Bravo, Hidalgo",120,190,10750.0,6789.473684210527,4,Casa,Venta,0,4,3,0,3.0,No,20 de Noviembre,0,https://www.lamudi.com.mx//detalle/41032-73-a1cf0b934e6e-30bf-1313e532-9cf5-40e4
45,,1250000,"DEPARTAMENTO EN VENTA CENTRO, PACHUCA DE SOTO, HGO",90,90,13888.888888888889,13888.888888888889,8,Departamento,Venta,1,3,1,0,1.0,No,Pachuca de Soto Centro,0,https://www.lamudi.com.mx//detalle/41032-73-6f63a7321a1c-6556-574575e1-8ff1-4797
46,,1250000,VENTA DE CASA ECONMICA EN FRACCIONAMIENTO PRIVADO EN TULANCINGO 3 RECAMARAS,100,125,12500.0,10000.0,12,Casa En Fraccionamiento,Venta,1,3,2,0,2.0,No,San Nicol谩s El Chico,0,https://www.lamudi.com.mx//detalle/41032-73-bfa7f15b7f9c-b68e-b93b6c46-8fb7-313c
47,D1,1249000,Oportunidad de Departamento C茅ntrico en Venta Pachuca,95,95,13147.368421052632,13147.368421052632,7,Departamento,Venta,1,3,1,0,1.0,No,Pachuca de Soto Centro,0,https://www.lamudi.com.mx//detalle/41032-73-ea07d4568a9f-872f-dff1181e-98fe-4d9e
48,D1,1193100,TAD35080 Gran oportunidad para invertir en Tulancingo,105,75,11362.857142857143,15908.0,1,Casa,Venta,0,3,2,0,2.0,No,Unidad Habitacional La Morena,0,https://www.lamudi.com.mx//detalle/41032-73-9358f3d09ca3-ba1d-b73b9e48-86f6-4dbb
49,D1,1180000,"CASA EN FRACCIONAMIENTO CERRADO, CIMA DORADA TULANCINGO",105,77,11238.09523809524,15324.675324675323,4,Casa,Venta,0,2,1,0,1.0,No,San Jos茅 Caltengo,0,https://www.lamudi.com.mx//detalle/41032-73-60f9fc9ca4df-8fdf-6c7094aa-a826-4471
50,D1,1157000,Casa en venta con 3 rec谩maras en  Tulancingo,72,81,16069.444444444443,14283.95061728395,12,Casa En Fraccionamiento,Venta,0,3,2,0,2.0,No,Villa Sol,0,https://www.lamudi.com.mx//detalle/41032-73-96ac604bba20-635d-4730664-89a4-3be2
51,D1,1150000,"CASA NUEVA EN PRIVADA SAN DANIEL, TULANCINGO HIDALGO",105,62,10952.380952380952,18548.3870967742,12,Casa,Venta,1,2,1,0,1.0,No,Conjunto Habitacional Los Mesones,0,https://www.lamudi.com.mx//detalle/41032-73-e1e9f2183ac5-7f02-5ba171a0-bd32-34c5
52,D1,1100000,VENTA DE CASA 3 RECAMARAS EN TULANCINGO HIDALGO,105,102,10476.190476190475,10784.313725490196,12,Casa En Fraccionamiento,Venta,1,3,2,0,2.0,No,Tulancingo de Bravo Centro,0,https://www.lamudi.com.mx//detalle/41032-73-855a866a4c28-80e9-6b217a01-90e4-3abf
53,D1,1100000,VENTA DE CASA ECONOMICA DE 4 RECAMARAS EN COLONIA EL PARAISO EN TULANCINGO HIDALGO,160,100,6875.0,11000.0,12,Casa,Venta,1,4,1,0,1.0,No,Tulancingo de Bravo Centro,0,https://www.lamudi.com.mx//detalle/41032-73-46863522d18d-457e-9ef05d1f-a468-3838
54,D1,1100000,HERMOSA CASA EN VENTA EN TULANCINGO DE BRAVO HIDALGO.,398,398,2763.819095477387,2763.819095477387,2,Casa,Venta,1,4,2,0,2.0,No,Unidad Habitacional La Morena,0,https://www.lamudi.com.mx//detalle/41032-73-c3d586e6bb16-bbfd-7ff3c95e-a3d7-4960
55,D1,1080000,"Casa con opci贸n de crecimiento en Villas Santa Mar铆a, Tulancingo Hgo.",105,73,10285.714285714286,14794.520547945203,4,Casa,Venta,0,2,1,0,1.0,No,Ampliaci贸n Javier Rojo G贸mez,0,https://www.lamudi.com.mx//detalle/41032-73-148a066ebd7c-a22f-24777fa3-acc5-46bd
56,D1,1050000,"CASA DE 1 NIVEL EN PRIVADA, TULANCINGO HIDALGO",105,70,10000.0,15000.0,1,Casa,Venta,0,2,1,0,1.0,No,Ampliaci贸n Javier Rojo G贸mez,0,https://www.lamudi.com.mx//detalle/41032-73-58b55adc017b-6914-f7d09bf-9a71-458e
57,D1,1050000,VENTA DE CASA DE LUJO 3 RECAMARAS EN TULANCINGO,80,120,13125.0,8750.0,9,Casa,Venta,1,3,1,0,1.0,No,Medias Tierras,0,https://www.lamudi.com.mx//detalle/41032-73-89ca4ee22d25-18f8-67cdfbc9-994b-1237
58,D1,1031100,Oportunidad de compra en Tulancingo,110,110,9373.636363636364,9373.636363636364,1,Casa,Venta,1,3,2,0,2.0,No,Vicente Guerrero 1ra Secci贸n,0,https://www.lamudi.com.mx//detalle/41032-73-fa15f10ac271-f310-6ae34913-9618-42ac
59,E3,990100,"Vivienda en venta con gran plusval铆a de remate dentro de Calle Hermenegildo Galeana 706, Vicente Guerrero, Tulancingo, Estado de Hidalgo, M茅xico",110,110,9000.90909090909,9000.90909090909,4,Casa,Venta,1,3,2,0,2.0,No,Vicente Guerrero 1ra Secci贸n,0,https://www.lamudi.com.mx//detalle/41032-73-db570cd0d44e-1be3-5ab37df6-83f7-4656
60,E3,990000,EXTRENA TU CASA A BAJO COSTO EN **TULANCINGO DE BRAVO** HGO.,110,110,9000.0,9000.0,2,Casa,Venta,1,3,1,0,1.0,No,Vicente Guerrero 1ra Secci贸n,0,https://www.lamudi.com.mx//detalle/41032-73-bf57b977d082-55cb-a85d7cdf-ba19-4e54
61,E3,985000,"CASA DE 1 NIVEL EN FRACC. VILLAS SANTA MARIA, TULANCINGO HIDALGO",105,76,9380.952380952382,12960.526315789471,11,Casa En Fraccionamiento,Venta,1,2,1,0,1.0,No,Ampliaci贸n Javier Rojo G贸mez,0,https://www.lamudi.com.mx//detalle/41032-73-7ce59ea81ac0-ba8f-53ce538d-9349-3d2f
62,E3,984000,Casa en venta con 3 rec谩maras en Tulancingo,72,67,13666.666666666666,14686.567164179103,12,Casa En Fraccionamiento,Venta,0,3,2,0,2.0,No,Villa Sol,0,https://www.lamudi.com.mx//detalle/41032-73-a533d1c6b1d4-b82f-b4e9c29b-9bda-3798
63,E3,980000,"Venta de departamentos ejecutivos, 2 rec谩maras y 2 ba帽os.",82,82,11951.219512195124,11951.219512195124,12,Departamento,Venta,1,2,2,0,2.0,No,Fracc Paseo de las Reynas V,0,https://www.lamudi.com.mx//detalle/41032-73-e0684482854-c985-672238f7-bb61-3806
64,E3,980000,"Inmueble adjudicado en Tulancingo, Hidalgo",110,110,8909.09090909091,8909.09090909091,3,Casa,Venta,1,3,2,0,2.0,No,Vicente Guerrero 1ra Secci贸n,0,https://www.lamudi.com.mx//detalle/41032-73-c1f29b7f102f-3101-c4a42d6b-b2d3-4e63
