id,Age Range,Hombre,Mujer,Total
1,0 a 4 años,6947,6623,13570
2,10 a 14 años,7688,7288,14976
3,15 a 19 años,7607,7496,15103
4,20 a 24 años,6689,6924,13613
5,25 a 29 años,6166,6766,12932
6,30 a 34 años,5654,6767,12421
7,35 a 39 años,5407,6743,12150
8,40 a 44 años,5193,6486,11679
9,45 a 49 años,4927,5996,10923
10,5 a 9 años,7208,7014,14222
11,50 a 54 años,4372,5229,9601
12,55 a 59 años,3450,4269,7719
13,60 a 64 años,2924,3582,6506
14,65 a 69 años,2135,2581,4716
15,70 a 74 años,1439,1926,3365
16,75 a 79 años,936,1221,2157
17,80 a 84 años,555,831,1386
18,85 años o más,427,816,1243
