"Sex ID","Sex","Age Range ID","Age Range","Population","Population_","Percentage"
1,"Hombre",1,"0 a 4 años",6947,-6947,4.128189586527377
1,"Hombre",2,"5 a 9 años",7208,-7208,4.283286388324361
1,"Hombre",3,"10 a 14 años",7688,-7688,4.568521885882031
1,"Hombre",4,"15 a 19 años",7607,-7607,4.520388395669174
1,"Hombre",5,"20 a 24 años",6689,-6689,3.974875506590129
1,"Hombre",6,"25 a 29 años",6166,-6166,3.6640876623762497
1,"Hombre",7,"30 a 34 años",5654,-5654,3.3598364649814
1,"Hombre",8,"35 a 39 años",5407,-5407,3.213059031863182
1,"Hombre",9,"40 a 44 años",5193,-5193,3.085891539202054
1,"Hombre",10,"45 a 49 años",4927,-4927,2.927823534305511
1,"Hombre",11,"50 a 54 años",4372,-4372,2.598019990254454
1,"Hombre",12,"55 a 59 años",3450,-3450,2.050130138695761
1,"Hombre",13,"60 a 64 años",2924,-2924,1.7375595726221462
1,"Hombre",14,"65 a 69 años",2135,-2135,1.2687037235117242
1,"Hombre",15,"70 a 74 años",1439,-1439,0.8551122520531014
1,"Hombre",16,"75 a 79 años",936,-936,0.5562092202374586
1,"Hombre",17,"80 a 84 años",555,-555,0.32980354405105716
1,"Hombre",18,"85 años o más",427,-427,0.25374074470234487
2,"Mujer",1,"0 a 4 años",6623,6623,3.935655625675949
2,"Mujer",2,"5 a 9 años",7014,7014,4.168003708061469
2,"Mujer",3,"10 a 14 años",7288,7288,4.330825637917306
2,"Mujer",4,"15 a 19 años",7496,7496,4.454427686858963
2,"Mujer",5,"20 a 24 años",6924,6924,4.114522052269405
2,"Mujer",6,"25 a 29 años",6766,6766,4.020632034323338
2,"Mujer",7,"30 a 34 años",6767,6767,4.02122627494325
2,"Mujer",8,"35 a 39 años",6743,6743,4.006964500065367
2,"Mujer",9,"40 a 44 años",6486,6486,3.8542446607480305
2,"Mujer",10,"45 a 49 años",5996,5996,3.563066756991241
2,"Mujer",11,"50 a 54 años",5229,5229,3.1072842015188793
2,"Mujer",12,"55 a 59 años",4269,4269,2.536813206403537
2,"Mujer",13,"60 a 64 años",3582,3582,2.1285699005241203
2,"Mujer",14,"65 a 69 años",2581,2581,1.5337350399923937
2,"Mujer",15,"70 a 74 años",1926,1926,1.144507433950155
2,"Mujer",16,"75 a 79 años",1221,1221,0.7255677969123258
2,"Mujer",17,"80 a 84 años",831,831,0.49381395514671805
2,"Mujer",18,"85 años o más",816,816,0.4849003458480408