propiedad,tipo,precio,denominacion,visualizaciones,metros_total,metros_construido,banos,medio_banos,estacionamientos,recamaras,antiguedad,tiempo_de_publicacion,status_desarrollo,ubicacion,url,descripcion,latitud,longitud
Preventa Departamentos Nuevos y Económicos en Tulancingo,Departamento,700000,MXN,74,60,60,1,0,1,2,1,Publicado hace más de 1 año,venta,"Nuevo Tulancingo,  Nuevo Tulancingo, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclapin-preventa-departamentos-nuevos-y-economicos-en-90946919.html,"Oportunidad de Departamentos nuevos y económicos en Col. Nuevo Tulancingo; una zona con alta plusvalía, ubicados a un costado de la nueva clinica del IMSS, ideales para una inversión segura, a solo 3 min de la Central de autobuses, Plaza del Vestido la cual es una zona de gran comercio principalmente los días jueves. A 5 minutos de Bodega Aurrera y del centro de la Ciudad, distintas vías de acceso, 15 minutos del famoso balneario de Santa Ana de aguas termales.El fraccionamiento es un complejo de 6 edificios, con barda perimetral, accesos controlados, calles de concreto hidraulico, transporte publico en la entrada principal, pequeña área comercial en el interior del mismo y áreas verdes.Los departamentos cuentan con:2 recámarasSala.Comedor.Cocina.Área de lavado.Área de tendido.1 baño.1 cajon de estacionamiento.PRECIO DE PREVENTA DESDE $700,000Torre 051er. piso (planta baja) $730 mil Baja2do. piso $720,000.003er. piso $710,000.004to. piso $700,000.00Con plan de financiamiento 50% de anticipo y 50% a pagar en 6 meses sin interesesEntrega completamente terminado: Diciembre 2024 - Enero 2025Pregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.100857900000001,-98.360531199999996
"Casa en Venta, Col. La Morena. Tulancingo. Pachuca.",Casa,4300000,MXN,119,160,240,4,1,0,5,8,Publicado hace más de 1 año,venta,"Hortencia ,  La Morena, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-col.-la-morena.-tulancingo.-pachuca.-91289239.html,"Bonita casa en venta ubicada en la colonia La Morena. Esta es una excelente ubicación en donde podrás encontrar todo tipo de comercio ( cerca a supermercados, restaurantes, farmacias, etc). Además, tienes escuelas de diferentes niveles en la zona, centros medicos, facilidad para tomar transporte, y rápido acceso a diferentes vías publicas que te conectan con la ciudad. La casa cuenta con 240 m2 de área construida, con sus espacios distribuidos de la siguiente manera: - 3 plantas con espacios amplios y bien iluminados. - 5 recamaras ( 1 recámara en planta baja con baño completo y closet 3 recámaras en 2o. Nivel, la recámara principal cuenta con closet y baño amplios con jacuzzi, 2 recámaras comparten baño. Todas las recámaras tienen piso laminado y closets amplioscolor chocolate. En 3er. Nivel tiene 1 recámara de Servicio con baño completo.) - 4 baños completos / 1 medio baño. - 2 espacios de estacionamiento techado con policarbonato. - Cocina integral ( estufa, campana, horno, alacena, barra) - Cuarto de lavado y tendido. - Jardín o área verde. - Cuenta con calentador solar, calentador de gas y cisterna de 8 mil lts. - Puede venderse amueblada (sala y comedor) Excelente oportunidad de compra. Contactanos y agenda tu visita",20.093699877445147,-98.372141251065050
"Casa en Venta Fraccionamiento Pedregal de San Francisco, Tulancingo",Casa,3000000,MXN,66,190,178,3,1,0,3,2019,Publicado hace 289 días,venta,"Privada Rincón del Sol 223,  Fraccionamiento Pedregal de San Francisco, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-fraccionamiento-pedregal-de-san-142039459.html,"Casa en Venta Fraccionamiento Pedregal de San Francisco, TulancingoDistribución:Planta Baja• Sala • Comedor• Cocina integral con alacena• Area de lavado• Bodega• 1 ½ Baños• Dos solares • Muro lloron y JardinerasPrimer piso.• Recamara principal con balcon, baño y vestidor• Segunda y Tercer recamara con baño y closetsAzotea• Tanque estacionario• Calentador solar• Deposito de aguaCaracterísticas:• m2 Terreno: 190 m2.• m2 Construcción: 178 m2.• Edad: 5 años• Niveles construidos: 2 niveles.• Uso de suelo: Habitacional.• En fraccionamiento residencial con vigilancia 24 hrs y áreas verdes comunes.• Se aceptan pagos con recursos propios y créditos hipotecarios bancarios y de instituciones públicas y privadas (la aprobación de los créditos está sujeto a las políticas de cada institución).",20.064998400000000,-98.402677799999992
"Casas Económicas en Privada, Napateco Tulancingo Hgo.",Casa,799000,MXN,39,91,60,1,0,1,2,2,Publicado hace más de 1 año,venta,",  Napateco, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casas-economicas-en-privada-napateco-tulancingo-hgo.-90883096.html,"NUEVO DESARROLLO, PRIVADAS DE NAPATECO EN TULANCINGO HIDALGO.¡Es la mejor oportunidad para ejercer tu crédito, para desarrollar tus proyectos y/otu patrimonio!Zona ubicada a 15 minutos de la Ciudad de Tulancingo, en una zona tranquila y acogedora para toda la familia. Tendrás la facilidad de servicios como, escuelas cerca desde primaria hasta universidad, farmacias, hospitales, tiendas de autoservicio, gasolineray todo tipo de comercio de primera necesidad.Las casas cuenta con:Sala.Comedor.Cocina con barra.2 recámaras. 1 baño completo.Patio de servicio.Estacionamiento para 1auto.Incluyen:Servicios ocultos.Calles de concreto (20 cm de grosor).Pregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.135448410114790,-98.343429565429701
¡Casa de Ensueño en Tulancingo! Ubicación Premium y Precio Inigualable,Casa,1195000,MXN,91,67,95,2,1,1,2,0,Publicado hace más de 1 año,venta,"Rancho Nuevo,  Fraccionamiento Valle Verde, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain--casa-de-ensueno-en-tulancingo!-ubicacion-premium-y-52435947.html,"¡Atención! La casa de tus sueños te espera en la Ciudad de Tulancingo Hidalgo, y no encontrarás otra igual en esta ubicación ni con este precio increíble. Este es el hogar perfecto para quienes valoran la calidad de vida y la comodidad. Ubicación Premium: Ubicada en una de las zonas con mayor plusvalía de Tulancingo, un área residencial de nivel medio-alto, libre de comercio informal y con todos los servicios a tu alcance. A solo 5 minutos de Plaza Patio Tulancingo, donde encontrarás tiendas de autoservicio, restaurantes, bancos, gimnasios, cines y un club deportivo. Además, con salidas rápidas a CDMX, Pachuca, Tuxpan y Poza Rica, tendrás una conectividad excepcional. Diseño Ideal: Esta casa está pensada para quienes buscan la comodidad sin las complicaciones de una vivienda de gran tamaño. Cada rincón ha sido diseñado para tu bienestar y el de tu familia. Disfruta de una sala-comedor iluminada y ventilada, integrada a una cocina funcional. En la planta alta, dos acogedoras habitaciones con espacio para clósets comparten un baño completo. Privacidad y Seguridad: Cada casa es totalmente independiente, sin muros compartidos, asegurando tu privacidad. Además, cuenta con un portón de acceso para tu tranquilidad. Facilidades de Pago: No te preocupes por la forma de pago. Aceptamos pagos de contado y todos los créditos hipotecarios: INFONAVIT, FOVISSSTE, ISSFAM y Bancarios. Nos encargamos de todo el trámite para que tú solo te enfoques en disfrutar de tu nuevo hogar. Confía en los Expertos: Somos expertos inmobiliarios dedicados a hacer realidad tu sueño de tener la casa perfecta. No dejes pasar esta oportunidad única. Contáctanos y asegura hoy mismo tu nueva vivienda. ¡Haz de esta casa tu hogar y vive la vida que siempre has soñado!",20.077665615450830,-98.391734231738250
Un Paraíso con Piscina en Privada Arboledas: Vive La Grandeza de Tu Hogar de Placer y Descanso,Casa,1695000,MXN,75,105,114,2,0,0,3,0,Publicado hace más de 1 año,venta,"Privada Arboledas,  Fraccionamiento Valle Verde, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-un-paraiso-con-piscina-en-privada-arboledas:-vive-la-90349600.html,"¡Descubre tu hogar ideal en Privada Arboledas! La mejor ubicación en Tulancingo te espera junto a todas las comodidades que mereces. ¿Listo para vivir en el lugar que siempre soñaste? Privada Arboledas te ofrece una ubicación envidiable, a solo minutos de restaurantes, bancos, gimnasios y tiendas departamentales. ¡Todo lo que necesitas estará a tu alcance! En Privada Arboledas, el entretenimiento y la diversión están garantizados. Disfruta de amenidades de primera, como juegos infantiles, parque canino, gimnasio al aire libre y trota pista. Y lo mejor está por venir: ¡nuestras amenidades exclusivas! Un área verde para relajarte, zona de asador con baños para tus reuniones, fogatero para momentos especiales y próximamente una piscina cubierta para disfrutar en familia durante todo el año. Tu comodidad es nuestra prioridad. Tu nueva casa está frente a un espacioso y relajante espacio verde. Las dos amplias habitaciones en planta alta, con su propio espacio para el vestidor, te brindarán un ambiente acogedor. ¿Necesitas un espacio extra? La habitación en planta baja es perfecta para trabajar, estudiar en línea o recibir a tus seres queridos. ¡Aprovecha al máximo cada rincón de tu nuevo hogar! No esperes más, esta es la oportunidad que estabas esperando. Agenda tu visita y déjate sorprender por todo lo que Privada Arboledas tiene para ti. Te aseguramos que te enamorarás al instante de este lugar lleno de comodidades y diversión. ¡Te esperamos con los brazos abiertos!",20.077205244610205,-98.391459874560540
"Casa Exclusiva en Tulancingo: Privada, Áreas Verdes y Cerca de Todo",Casa,2400000,MXN,67,119,154,3,1,0,4,0,Publicado hace más de 1 año,venta,"Rancho nuevo,  Fraccionamiento Valle Sol, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-exclusiva-en-tulancingo:-privada-areas-verdes-y-51975969.html,"Descubre la comodidad y el lujo en esta casa ubicada en una exclusiva privada con acceso automatizado. Esta propiedad no solo ofrece seguridad y privacidad, sino también un ambiente familiar perfecto, con juegos infantiles, áreas verdes y zona de asadores para disfrutar de momentos inolvidables en compañía de sus seres queridos. Imagina vivir a menos de 5 minutos de Plaza Patio Tulancingo, donde encontrarás todo lo que necesitas al alcance de tu mano: tiendas, restaurantes, entretenimiento y servicios. Esta ubicación privilegiada te permite disfrutar de la comodidad y el dinamismo de la ciudad, sin renunciar a la tranquilidad de tu hogar. La casa está distribuida de la siguiente manera: Planta Baja: Garage para 2 autos: Olvídate de los problemas de estacionamiento y disfruta de la comodidad de tener tus vehículos protegidos. Sala y comedor: Espacios amplios y acogedores, ideales para relajarte y recibir a tus invitados. Cocina: Diseñada para inspirar tus mejores creaciones culinarias. Baño de visitas: Práctico y funcional para tus invitados. Área de servicio: Todo lo que necesitas al alcance de tu mano. Patio interior: Un espacio perfecto para momentos de tranquilidad al aire libre. Espacio flex con baño completo: Personaliza este versátil espacio según tus necesidades: una recámara adicional, estudio, o sala de TV. Planta Alta: 2 recámaras secundarias: Amplias y luminosas, con espacio para clóset y un baño completo compartido. Recámara principal: Un verdadero santuario personal, con espacio para vestidor y un baño completo privado, brindándote el confort y la privacidad que mereces. Esta casa no es solo una propiedad, es una inversión en tu calidad de vida. Con un diseño pensado para ofrecerte comodidad y funcionalidad, y una ubicación inmejorable, esta es la oportunidad que has estado esperando. No dejes pasar esta oportunidad única de vivir en el lugar de tus sueños. ¡Contáctanos hoy mismo y agenda una visita para descubrir todo lo que esta casa tiene para ofrecerte! ¡Tu nuevo hogar te espera en Tulancingo!",20.080768966757170,-98.391054543377660
Una Inversión Inteligente en La Morena,Casa,2900000,MXN,62,154,120,2,1,0,3,5,Publicado hace 314 días,venta,"Circuito San Daniel,  Fraccionamiento La Morena, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-una-inversion-inteligente-en-la-morena-141908821.html,"¡Bienvenido al hogar de tus sueños en la prestigiosa zona de La Morena! Esta casa única de dos niveles se encuentra una ubicación privilegiada que ofrece comodidades excepcionales y en Privada acceso automatizado para tu tranquilidad. Imagina vivir en una de las áreas de mayor plusvalía de la Ciudad, rodeado de todo lo que necesitas. Esta casa está estratégicamente ubicada cerca de escuelas, hospitales, restaurantes, zonas comerciales y el encantador Centro Histórico de la Ciudad, ""La Floresta"". Además, su proximidad a vías rápidas y la salida hacia destinos clave como CDMX, Pachuca, Huasca y Tuxpan facilitan tu movilidad. La distribución cuidadosamente planificada de esta casa garantiza un estilo de vida cómodo y funcional. En la planta baja, te recibirá un garaje cerrado para dos autos, seguido de un vestíbulo que da paso a una sala luminosa y un comedor. El baño de visitas añade un toque de conveniencia, mientras que la cocina, equipada con una amplia alacena, te invita a deleitar tus sentidos. Disfruta del aire fresco en el patio de servicio y el hermoso jardín que complementa la casa. Sube al segundo nivel, donde un vestíbulo te guía hacia dos recámaras secundarias, compartiendo un baño completo. La recámara principal, un verdadero refugio privado, cuenta con terraza, un vestidor y baño completo para tu comodidad y privacidad. Esta casa viene equipada con todo lo que necesitas para vivir de manera práctica y lujosa. Disfruta de la tranquilidad que brinda la cisterna, la funcionalidad de la cocina integral, la conveniencia de una amplia alacena y el confort del calentador de paso para tres servicios. Los clósets en todas las recámaras ofrecen un amplio espacio de almacenamiento, mientras que el doble lavabo en la recámara principal agrega un toque de elegancia. Los canceles en los baños de la planta alta, el tinaco y el tanque estacionario son solo algunas de las características que hacen de esta casa un hogar completo. No dejes pasar la oportunidad de ser dueño de esta residencia única en su clase. ¡Contáctanos ahora para programar una visita y descubrir cómo esta casa puede convertirse en tu refugio perfecto en Tulancingo! Vive la vida que mereces en ""La Morena"".",20.091483187159177,-98.375842699505600
Casa Residencial en Tulancingo,Casa,2250000,MXN,38,119,150,3,0,0,4,0,Publicado hace más de 1 año,venta,Conoce los alrededores del inmueble,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-residencial-en-tulancingo-77815246.html,"FRACCIONAMIENTO RANCHO NUEVOEs una zona inigualable, a unos pasos de mega comercial mexicana, plaza patio (centros comerciales, bancos, pizzería, cine, centros de reunión) a 10 minutos del centro de la ciudad.La Privada cuenta con áreas de recreación, asadores, juegos infantiles y caseta de vigilancia. ?Casa de 2 niveles que cuenta con:Planta baja: Garaje para un carro. Sala. Comedor-cocina. Cuarto de servicios. Estudio o recámara para las visitas. Baño completo. Jardín posterior. Planta alta: 2 recámaras secundarias. 1 baño completo compartido para recámaras secundarias. Vestíbulo. Recámara principal con vestidor y baño completo. Pregunta por la forma de pago.PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio publicado corresponde a la propiedad, NO incluye gastos de escrituración u otros conceptos. Horario de atenciónLunes a viernes: 10:00 a 14:00 y 17:00 a 19:00Sábados: 10:00 a 14:00Domingos: previa citaMayores informes y citas: 7Ver datos // Ver datos // Ver datos // Ver datos""HAY UN LUGAR ESPERANDO SER TU HOGAR""",0,0
Casa Nueva Modelo Ambar en Fraccionamiento Residencial Tulancingo,Casa,1157000,MXN,44,81,81,2,0,1,3,3,Publicado hace 67 días,venta,",  Fraccionamiento Valle Verde, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-nueva-modelo-ambar-en-fraccionamiento-residencial-144121853.html,"Fracc. Residencial Rancho Santa clara se encuentra en Valle Verde, la cual es una zona inigualable, a unos pasos de mega comercial mexicana, plaza patio (centros comerciales, bancos, pizzería, cine, centros de reunión),y a 10 minutos del centro de la ciudad.El Fraccionamiento te ofrece una casa de dos niveles moderna, amplia y familiar con las siguientes características:-Planta baja:SalaCocinaComedor1 Recámara1 BañoEstacionamientoPatio de servicioÁrea de guardadoJardín-Planta Alta:Pasillo2 Recámaras1 BañoPregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.090480199999998,-98.369092199999997
Casa Tipo Cabaña Amueblada y Equipada en Venta Fracc Pedregal de San Francisco,Casa,3950000,MXN,51,190,113,1,1,0,2,2022,Publicado hace 252 días,venta,"Privada Rincón del Sol 223 Cabaña A,  Fraccionamiento Pedregal de San Francisco, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-tipo-cabana-amueblada-y-equipada-en-venta-fracc-142385749.html,Casa tipo Cabaña completamente amueblada y equipada en Venta Fraccionamiento Pedregal de San FranciscoDistribución:Planta Baja• Sala • Comedor con chimenea• Cocineta• 1/2 baño• Garage para 10 autos• Jardín • BodegaPrimer piso.• 2 Recamaras con Balcón• Baño completoCaracterísticas:• m2 Terreno: 190 m2.• m2 Construcción: 113 m2.• Edad: 3 años• Niveles construidos: 2 niveles.• Uso de suelo: Habitacional.• En fraccionamiento residencial con vigilancia 24 hrs y áreas verdes comunes.,20.064998400000000,-98.402677799999992
Casa en Venta Tulancingo Hidalgo,Casa,2300000,MXN,49,141,143,2,1,1,3,10,Publicado hace 104 días,venta,"PRESIDENTE MAZARIK 126,  La Morena, Tulancingo de Bravo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-tulancingo-hidalgo-143807671.html,AMPLIA CASA EN VENTA Son tres recámaras Principal con baño completo y balcón Segunda y tercera recámara comparten baño completo . Segunda recámara con balcon Área de sala comedor Cocina integral equipada Estudio Medio baño de visitas . Dos estacionamientos Área de Lavado . Acceso automatizado. Documentación lista para escriturar . Si no cuentas con un crédito te tramitamos uno .,20.097833900000000,-98.371843200000000
"Casa en Fraccionamiento Cerrado, Cima Dorada Tulancingo",Casa,950000,MXN,43,105,77,1,0,1,2,2,Publicado hace 285 días,venta,",  Tulancingo de Bravo, Hidalgo",https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-fraccionamiento-cerrado-cima-dorada-142131581.html,"El fraccionamiento Cima Dorada cuenta con 2 acceso con caseta de vigilancia, pista para caminatas, área de asadores, cancha de basquetbol y área de juegos para niños.Ubicado a tan solo 5 minutos del centro de la cuidad,a un costado de la zona Arqueológica de Huapalcalco, muy cerca de clínicas médicas, hospitales, escuelas, establecimientos comerciales, central de autobuses, transporte público a una cuadra.La casa cuenta con:Sala-comedor.Cocina con tarja.1 baño completo.2 recámaras amplias.Patio de servicio.Cochera para 1 vehículos.Jardín interior artificial con acceso por sala comedor.AMENIDADES:Cisterna de 3,300 litrosTanque estacionario.Calentador de gas.Tinaco de 1,100 litros.Bomba de agua.Luminarias LED.*TAMBIEN CONTAMOS CON ELMODELO DETRES RECAMARAS POR ELCOSTO DE $980 MIL*Pregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituración, gastos administrativos e impuestos.Horario de atención para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sábados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: Ver datosHAY UN LUGAR ESPERANDO SER TU HOGAR",20.110183020892357,-98.359737396240248
